Time(s), CPU%, Memory(MB)
1750803354.130643, 0.1, 55.71875
1750803355.136387, 0.1, 55.71875
1750803356.144583, 0.1, 55.71875
1750803357.148899, 0.1, 55.71875
1750803358.152669, 0.1, 55.71875
1750803359.158684, 0.1, 55.71875
1750803360.166255, 0.1, 55.71875
1750803361.17086, 0.1, 55.71875
1750803362.175652, 0.1, 55.71875
1750803363.1803598, 0.1, 55.71875
1750803364.184617, 0.1, 55.71875
1750803365.190884, 0.1, 55.71875
1750803366.1974971, 0.1, 55.71875
1750803367.203274, 0.1, 55.71875
1750803368.205654, 0.1, 55.71875
1750803369.2088242, 0.1, 55.71875
1750803370.211692, 0.1, 55.71875
1750803371.216183, 0.1, 55.71875
1750803372.220151, 0.1, 55.71875
1750803373.224003, 0.1, 55.71875
1750803374.230304, 0.1, 55.71875
1750803375.2361019, 0.1, 55.71875
1750803376.240211, 0.1, 55.71875
1750803377.249064, 0.1, 55.71875
1750803378.253999, 0.1, 55.71875
1750803379.2571032, 0.1, 55.71875
1750803380.2599192, 0.1, 55.71875
1750803381.2695382, 0.1, 55.71875
1750803382.272236, 0.1, 55.71875
1750803383.277937, 0.1, 55.71875
1750803384.2846909, 0.1, 55.71875
1750803385.287531, 0.1, 55.71875
1750803386.309082, 0.1, 55.703125
1750803387.324269, 0.1, 55.578125
1750803388.33325, 0.1, 55.578125
1750803389.340112, 0.1, 55.578125
1750803390.3497229, 0.1, 55.578125
1750803391.356746, 0.1, 55.578125
1750803392.362787, 0.2, 55.578125
1750803393.3688068, 0.1, 55.578125
1750803394.376317, 0.1, 55.578125
1750803395.387447, 0.1, 55.578125
1750803396.402682, 0.1, 55.578125
1750803397.408619, 0.1, 55.578125
1750803398.414491, 0.1, 55.578125
1750803399.4207191, 0.1, 55.578125
1750803400.4289348, 0.1, 55.578125
1750803401.43629, 0.1, 55.578125
1750803402.445749, 0.1, 55.578125
1750803403.453888, 0.1, 55.578125
1750803404.459435, 0.1, 55.578125
1750803405.4684641, 0.1, 55.578125
1750803406.476237, 0.1, 55.578125
1750803407.479224, 0.1, 55.578125
1750803408.484226, 0.1, 55.578125
1750803409.487164, 0.1, 55.578125
1750803410.496761, 0.1, 55.578125
1750803411.501342, 0.1, 55.578125
1750803412.504918, 0.1, 55.578125
1750803413.511374, 0.1, 55.578125
1750803414.5168462, 0.1, 55.578125
1750803415.521267, 0.1, 55.578125
1750803416.525683, 0.1, 55.578125
1750803417.529109, 0.1, 55.578125
1750803418.532964, 0.1, 55.578125
1750803419.5382981, 0.1, 55.578125
1750803420.5465212, 0.1, 55.578125
1750803421.5510132, 0.1, 55.578125
1750803422.5575418, 0.2, 55.578125
1750803423.564223, 0.1, 55.578125
1750803424.5701902, 0.1, 55.578125
1750803425.575691, 0.1, 55.578125
1750803426.5844219, 0.1, 55.578125
1750803427.588465, 0.1, 55.578125
1750803428.596, 0.2, 55.578125
1750803429.603721, 0.1, 55.578125
1750803430.611053, 0.1, 55.578125
1750803431.618504, 0.1, 55.578125
